Time,NUIG_Network7_No_01_AHU103_Ctrls_01_Mixed_Air_Temp__DATALOG1
2019-01-31 00:00:00,11.34
2019-01-31 01:00:00,11.21
2019-01-31 02:00:00,11.43
2019-01-31 03:00:00,11.83
2019-01-31 04:00:00,13.04
2019-01-31 05:00:00,14.18
2019-01-31 06:00:00,14.65
2019-01-31 07:00:00,15.34
2019-01-31 08:00:00,16.23
2019-01-31 09:00:00,16.22
2019-01-31 10:00:00,16.39
2019-01-31 11:00:00,16.60
2019-01-31 12:00:00,16.28
2019-01-31 13:00:00,15.09
2019-01-31 14:00:00,13.93
2019-01-31 15:00:00,12.85
2019-01-31 16:00:00,12.05
2019-01-31 17:00:00,11.45
2019-01-31 18:00:00,10.82
2019-01-31 19:00:00,10.21
2019-01-31 20:00:00,9.50
2019-01-31 21:00:00,9.61
2019-01-31 22:00:00,10.30
2019-01-31 23:00:00,11.07
